ID problema,Descrizione,Stato,Gravità,Punti della storia,Percorso progetto,Tipologia di posizione,PERCORSO,Riga,Colonna,ID evento imprevisto,Collegamento alla Guida,Nome dell'assembly,Versione assembly,Chiave pubblica dell'assembly,Frammento
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,System.Net.Http.Json 9.0.4,,,,,"System.Net.Http.Json, 9.0.4  Raccomandazione:  Remove System.Net.Http.Json, and replace with new package System.Net.Http.Json 10.0.10"
Project.0002,È necessario modificare i framework di destinazione del progetto,Active,Mandatory,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,,,,,,Framework di destinazione corrente: net9.0 Framework di destinazione consigliato: net10.0
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Helpers\RestClientHelper.cs,90,20,T:System.Net.Http.HttpContent,,,,,var content = await response.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Helpers\UriHelper.cs,43,8,T:System.Uri,,,,,"public static string GetQueryString(this Uri uri, Dictionary<string, string> queryParams = null)"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Helpers\UriHelper.cs,40,12,T:System.Uri,,,,,return builder.Uri.ToString();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Helpers\UriHelper.cs,11,8,T:System.Uri,,,,,"public static Uri GetUriWithparameters(this Uri uri, Dictionary<string, string> queryParams = null, int port = -1)"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Helpers\UriHelper.cs,11,8,T:System.Uri,,,,,"public static Uri GetUriWithparameters(this Uri uri, Dictionary<string, string> queryParams = null, int port = -1)"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Helpers\UriHelper.cs,24,12,T:System.Uri,,,,,return builder.Uri;
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/Dialogs/ArticleEventDialog_razor.g.cs,476,12,T:System.Net.Http.HttpContent,,,,,var createdEvent = await response.Content.ReadFromJsonAsync<ArticleEvent>();
Api.0002,Origine non compatibile per la versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/Components/MaintenanceBanner_razor.g.cs,254,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_timer = new System.Threading.Timer(             _ => InvokeAsync(StateHasChanged),             null,             TimeSpan.FromSeconds(1),             TimeSpan.FromSeconds(1));"
Api.0002,Origine non compatibile per la versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/Components/MaintenanceBanner_razor.g.cs,254,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_timer = new System.Threading.Timer(             _ => InvokeAsync(StateHasChanged),             null,             TimeSpan.FromSeconds(1),             TimeSpan.FromSeconds(1));"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/Components/ReceiptUploader_razor.g.cs,960,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/Components/ReceiptUploader_razor.g.cs,956,16,T:System.Net.Http.HttpContent,,,,,_extractionResult = await response.Content.ReadFromJsonAsync<ReceiptExtractionResult>();
Api.0002,Origine non compatibile per la versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/Components/OtpModal_razor.g.cs,808,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_timer = new System.Threading.Timer(async _ =>          {              _remainingSeconds--;              if (_resendCooldown > 0) _resendCooldown--;                            if (_remainingSeconds <= 0)              {                  _canResend = true;                  StopTimer();              }                            if (_resendCooldown <= 0 && _remainingSeconds > 0)              {                  _canResend = true;              }                await InvokeAsync(StateHasChanged);          }, null, TimeSpan.Zero, TimeSpan.FromSeconds(1));"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/RedirectToClient_razor.g.cs,168,12,T:System.Uri,,,,,"Navigation.NavigateTo(                 $""authentication/login?returnUrl={Uri.EscapeDataString(Navigation.Uri)}"",                 true);"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/RedirectToLogin_razor.g.cs,160,8,T:System.Uri,,,,,"var url = $""authentication/login?returnUrl={Uri.EscapeDataString(Navigation.Uri)}"";"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/PageHeader_razor.g.cs,748,12,T:System.Uri,,,,,var absoluteUrl = NavigationManager.ToAbsoluteUri(url);
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/PageHeader_razor.g.cs,742,8,T:System.Uri,,,,,var currentPath = new Uri(NavigationManager.Uri).LocalPath.TrimEnd('/');
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Shared/PageHeader_razor.g.cs,742,8,M:System.Uri.#ctor(System.String),,,,,var currentPath = new Uri(NavigationManager.Uri).LocalPath.TrimEnd('/');
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Invoices/Details_razor.g.cs,1149,16,T:System.Net.Http.HttpContent,,,,,var bytes = await response.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/InboundEmails/Details_razor.g.cs,1069,12,T:System.Net.Http.HttpContent,,,,,var bytes = await resp.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/InboundEmails/Details_razor.g.cs,1054,16,T:System.Net.Http.HttpContent,,,,,var ticketId = await resp.Content.ReadFromJsonAsync<int>();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Quotes/Details_razor.g.cs,2097,16,T:System.Net.Http.HttpContent,,,,,var bytes = await response.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Quotes/Details_razor.g.cs,2070,16,T:System.Net.Http.HttpContent,,,,,var bytes = await response.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Receipts/Upload_razor.g.cs,1175,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Receipts/Upload_razor.g.cs,1171,16,T:System.Net.Http.HttpContent,,,,,_extractionResult = await response.Content.ReadFromJsonAsync<ReceiptExtractionResult>();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Receipts/Upload_razor.g.cs,1100,16,T:System.Net.Http.HttpContent,,,,,_healthStatus = await response.Content.ReadFromJsonAsync<HealthCheckResponse>();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Orders/Details_razor.g.cs,1863,16,T:System.Net.Http.HttpContent,,,,,var bytes = await response.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Pages\Attachments\Upload.razor.cs,170,20,T:System.Net.Http.HttpContent,,,,,var errorContent = await resp.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Pages\Attachments\Details.razor.cs,309,20,T:System.Net.Http.HttpContent,,,,,var errorMessage = await response.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Pages\Attachments\Details.razor.cs,227,16,T:System.Net.Http.HttpContent,,,,,var bytes = await response.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Pages\Attachments\Details.razor.cs,200,16,T:System.Net.Http.HttpContent,,,,,var bytes = await response.Content.ReadAsByteArrayAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Pages\ExpenseReceipts\Create.razor.cs,151,20,T:System.Net.Http.HttpContent,,,,,var created = await response.Content.ReadFromJsonAsync<ExpenseReceiptDTO>();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\Pages\ExpenseReceipts\Create.razor.cs,94,16,T:System.Net.Http.HttpContent,,,,,var uploadedFile = await uploadResponse.Content.ReadFromJsonAsync<AttachmentFileUploadResult>();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Articles/Components/LicenseFeatureDefsPanel_razor.g.cs,1308,12,T:System.Net.Http.HttpContent,,,,,_error = await resp.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Articles/Components/LicenseFeatureDefsPanel_razor.g.cs,1297,12,T:System.Net.Http.HttpContent,,,,,_error = await resp.Content.ReadAsStringAsync();
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Articles/Components/LicenseFeatureDefsPanel_razor.g.cs,1277,12,T:System.Net.Http.HttpContent,,,,,_error = await resp.Content.ReadAsStringAsync();
Api.0002,Origine non compatibile per la versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Articles/Components/ArticleStateManager_razor.g.cs,447,12,M:System.Threading.Tasks.Task.WhenAll(System.ReadOnlySpan{System.Threading.Tasks.Task}),,,,,"await Task.WhenAll(domainsTask, statesTask, eventsTask);"
Api.0003,Modifica del comportamento nella versione .NET selezionata,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\obj\Debug\net9.0\/generated\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Articles/License_razor.g.cs,1328,12,T:System.Net.Http.HttpContent,,,,,_message = await resp.Content.ReadAsStringAsync();
