ID|Descrizione|RagSoc|Paese|ANCODICE|ANDESCRI
2776|JUMBO JOINT AUTOMATICA 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
2778|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2779|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2780|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2781|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2784|JUMBO JOINT AUTOMATICA 2P|CHRISMATIC KLAUDIA|POLONIA|000273|CHRISMATIC KLAUDIA BUCZEK
2785|JUMBO JOINT AUTOMATICA 2P|CHRISMATIC KLAUDIA|POLONIA|000273|CHRISMATIC KLAUDIA BUCZEK
2786|JUMBO JOINT AUTOMATICA 2P|CHRISMATIC KLAUDIA|POLONIA|000273|CHRISMATIC KLAUDIA BUCZEK
2787|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2788|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2789|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2790|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2792|JUMBO JOINT AUTOMATICA 2P|ROLAND|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG
2793|JUMBO JOINT AUTOMATICA 2P|VELISTA|UVRAINA|000272|VELISTA ART LTD.
2794|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2795|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2798|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2799|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2800|JUMBO JOINT AUTOMATICA 2P|RAHMENCENTER24|GERMANIA|000327|RAHMENCENTER24 UG
2802|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2803|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2804|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2805|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2806|JUMBO JOINT AUTOMATICA 2P|GALERIJA SELENA|BOSN. ED ERZEG.|000349|GALERIJA SELENA
2807|JUMBO JOINT AUTOMATICA 2P|FRAMETECH|SPAGNA|000340|FRAMETECH S.L.
2808|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2809|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2810|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2811|JUMBO JOINT AUTOMATICA 2P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2815|JUMBO JOINT AUTOMATICA 2P|MIK|SLOVENIA|000072|MIK D.O.O.
2816|JUMBO JOINT AUTOMATICA 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2817|JUMBO JOINT AUTOMATICA 2P||||???
2726|JUMBO JOINT AUTOMATICA 3P|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2744|JUMBO JOINT AUTOMATICA 3P|TGS REPAIRS|INGHILTERRA|000060|TGS REPAIRS LLP
2758|JUMBO JOINT AUTOMATICA 3P|PHOTOSI|ITALIA|000106|PHOTOSI' SPA UNIPERSONALE
2723|JUMBO JOINT AUTOMATICA EC||||???
2722|JUMBO JOINT AUTOMATICA EC||||???
2721|JUMBO JOINT AUTOMATICA EC||||???
2720|JUMBO JOINT AUTOMATICA EC||||???
2823|JUMBO JOINT AUTOMATICA EC|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2824|JUMBO JOINT AUTOMATICA EC|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2825|JUMBO JOINT AUTOMATICA EC|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2826|JUMBO JOINT AUTOMATICA EC|RUCHSER|GERMANIA|000078|RUCHSER GMBH
2725|JUMBO JOINT MANUALE EC||||???
2724|JUMBO JOINT MANUALE EC||||???
2727|JUMBO JOINT MANUALE 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
2745|JUMBO JOINT MANUALE 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
2746|JUMBO JOINT MANUALE 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
2747|JUMBO JOINT MANUALE 2P|PROART EUROPE|REP. CECA|000233|PROART EUROPE S.R.O-
2759|JUMBO JOINT MANUALE 2P|SIMEK|REP. CECA|000095|SIMEK PROFICENTRUM S.R.O.
2768|JUMBO JOINT MANUALE 2P|VIDAL|SLOVENIA|000115|VIDAL D.O.O.
2769|JUMBO JOINT MANUALE 2P|ALSAFIX|FRANCIA|000088|ALSAFIX S.A.R.L.
2770|JUMBO JOINT MANUALE 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2771|JUMBO JOINT MANUALE 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2782|JUMBO JOINT MANUALE 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
2783|JUMBO JOINT MANUALE 2P|APA POLSKA|POLONIA|000098|APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA
2791|JUMBO JOINT MANUALE 2P|STARKUS|LITUANIA|000087|STARKUS UAB
2796|JUMBO JOINT MANUALE 2P|DONG WOO|KOREA|000019|DONG WOO FRAME
2797|JUMBO JOINT MANUALE 2P|DONG WOO|KOREA|000019|DONG WOO FRAME
2801|JUMBO JOINT MANUALE 2P|RAHMENCENTER24|GERMANIA|000327|RAHMENCENTER24 UG
2812|JUMBO JOINT MANUALE EC CORSA 120|LA CASA DEL CUADRO|PERU|000353|LA CASA DEL CUADRO EIRL
2813|JUMBO JOINT MANUALE 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2814|JUMBO JOINT MANUALE 2P|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2818|JUMBO JOINT MANUALE EC|BRIGHT GOAL|FILIPPINE|000354|BRIGHT GOAL TRADING
2819|JUMBO JOINT MANUALE EC|BRIGHT GOA|FILIPPINE|000354|BRIGHT GOAL TRADING
2820|JUMBO JOINT MANUALE EC|BRIGHT GOAL|FILIPPINE|000354|BRIGHT GOAL TRADING
2821|JUMBO JOINT MANUALE EC|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
2822|JUMBO JOINT MANUALE EC|A+USA|USA|000006|A-PLUS AUTOMATION USA INC
9553|JOINT 5X5 SUPER||||???
9555|JOINT 5X5 SUPER|PINO D.O|BOSN. ED ERZEG.|000085|PINO D.O.O.
9557|JOINT 5X5 SUPER|PINO D.O|BOSN. ED ERZEG.|000085|PINO D.O.O.
