ID|Descrizione|DimLama|RagSoc|Paese|ANCODICE|ANDESCRI|||
506.20.182|506 T300AutoV6 PinzaE Motor|300|SMALLWOOD|USA|000006|A-PLUS AUTOMATION USA INC|||
506.20.184|506 T300AutoV6 PinzaE Motor|300|FRAMES BY POST|INGHILTERRA|000300|FRAMES BY POST LTD|||
506.20.185|506 T300AutoV6 PinzaE Motor|300|ULTIMAT|INGHILTERRA|000034|ULTIMAT LTD|||
506.20.186|506 T300AutoV6 PinzaE Motor|300|ENMARKALIA|SPAGNA|000055|ENMARKALIA DECORACION S.L.|||
506.21.187|506 T300AutoV6 PinzaE Motor|300|VELISTA|UCRAINA|000272|VELISTA ART LTD.|||
506.21.188|506 T300AutoV6 PinzaE Motor|300|FRAME FACTORY|POLONIA|000320|FRAMESFACTORY Sp.z o.o. Sp.K.|||
506.14.080|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.083|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.084|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.14.085|506 T350AutoV6 PinzaE Motor|300|SHENZHEN LINHE|CINA||???|||
506.14.086|506 T350AutoV6 PinzaE Motor|300|SHENZHEN LINHE|CINA||???|||
506.16.114|506 T350AutoV6 PinzaE Motor|350|MYPOSTER|GERMANIA|000093|RMR ART COMPANY GMBH|||
506.16.116|506 T350AutoV6 PinzaE Motor|350|G&C|DANIMARCA|000160|G & C INTERIORS A/S|||
506.16.117|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.16.118|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.16.119|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.16.120|506 T350AutoV6 PinzaE Motor|300|PADMA ART|POLONIA|000028|PADMA ART SPOLKA Z OGRANICZONA|||
506.16.126|506 T350AutoV6 PinzaE Motor|300|BUILD A SIGN|USA|000006|A-PLUS AUTOMATION USA INC|||
506.16.127|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.128|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.129|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.130|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.131|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.132|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.133|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.134|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.135|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.137|506 T350AutoV6 PinzaE Motor|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.17.138|506 T350AutoV6 PinzaE Motor|350|INTCO|CINA|000279|INTCO INTERNATIONAL (HK) CO., LIMITED|||
506.21.189|506 T350AutoV6 PinzaE Motor|350|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|IMAC||
506.21.190|506 T350AutoV6 PinzaE Motor|350|FUDMAN|POLONIA|000063|MAC SP. Z O.O.|IMAC||
506.21.191|T300Auto||MUGHAL|INGHILTERRA|000309|MUGHAL PHOTO FRAMES LTD|||
506.21.192|T300Auto||MDL-DAY SOC. COOPERATIVA|ITALIA|000338|MDL-DAY SOC.COOPERATIVA|||
506.21.193|T350Auto||A+USA|US|000006|A-PLUS AUTOMATION USA INC|||
506.21.194|T350Auto||ROLAND|GERMANIA|000030|PROART BILDERRAHMEN GMBH & CO. KG|||
506.21.195|T300Auto||ROLAND|GERMANIA|000030|PROART BILDERRAHMEN GMBH & CO. KG|||
506.21.196|T300Auto||SYSTEMAIR A/S|DANIMARCA|000051|SYSTEMAIR A/S|||
506.21.197|T300Auto||"""IMAC"" SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA"|POLONIA|000063|MAC SP. Z O.O.|||
506.21.198|T300Auto||"""IMAC"" SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA"|POLONIA|000063|MAC SP. Z O.O.|||
510.17.121|510 T300/T350Auto V6J gruppo foratura|300|SYSTEMAIR A/S|DANIMARCA|000051|SYSTEMAIR A/S|||
510.17.122|510 T300/T350Auto V6J gruppo foratura|300|SYSTEMAIR A/S|DANIMARCA|000051|SYSTEMAIR A/S|||
510.17.123|510 T300/T350Auto V6J gruppo foratura|300|SYSTEMAIR LT|LITUANIA|000074|SYSTEMAIR UAB|||
510.17.124|510 T300/T350Auto V6J gruppo foratura|300|SYSTEMAIR SP|SPAGNA|000058|SYSTEMAIR HVAC SPAIN S.L.U.|||
510.17.125|510 T300/T350Auto V6J gruppo foratura|300|SYSTEM AIR NW|NORVEGIA|000166|SYSTEMAIR A/S (NO)|||
520.19.164|520 MONOLAMA|300|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
525.21.001|520 MONOLAMA|350|PADMA|POLONIA|000002|PADMA SP.z.o.o.Sp. Komandytowa|||
506.20.175|506X Lame sovrapposte|250|ZEBRA|RUSSIA|000068|"""ZEBRA"" LTD"|||
