ID|Descrizione|RagSoc|Paese| ANCODICE |ANDESCRI||||
1600284|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600286|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600287|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600288|A6|OM molding|INDIA|000027|OM MOULDINGS||||
1600289|A6|BUILDER SHOP|GERMANIA| 000030 |ROLAND WEITZER INDUSTRIEVERTRETUNG||||
1600291|A6|SHANGDONG INTCO|CINA|000024|SHANDONG INTCO RECYCLING RESOURCE CO., LTD.||||
1600292|A6|SHANGDONG INTCO|CINA|000024|SHANDONG INTCO RECYCLING RESOURCE CO., LTD.||||
1600293|A6|DEKNUDT FRAMES NV|BELGIO|000017|DEKNUDT FRAMES NV||||
1600294|A6|OM molding|INDIA|000027|OM MOULDINGS||||
1600296|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600297|A6|G&C|DANIMARCA|000160|G & C INTERIORS A/S||||
1600300|A6|DECO MANUFACTORING|MALTA|000016|DECO MANUFACTORING LTD||||
1700901|A6|ACORN|IRLANDIA| 000048 |ACORN PICTURE FRAMING SUPPLIES LTD||||
1700902|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1700905|A6|G&C|DANIMARCA|000160|G & C INTERIORS A/S||||
1700907|A6|DEKNUDT FRAMES NV|BELGIO|000017|DEKNUDT FRAMES NV||||
1800908|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800909|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800910|A6|ACORN|IRLANDIA| 000048 |ACORN PICTURE FRAMING SUPPLIES LTD||||
1800911|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1800913|A6|INNRAMMARINN EHF|ISLANDA|000057|INNRAMMARINN EHF||||
1800914|A6|CADRES|FRANCIA| 000067 |CADRES AMALVY SARL||||
1800915|A6|LIRA|GERMANIA|000151|LARSON JUHL S.R.O.||||
1800916|A6|0 NESSUNO|||???||||
1800917|A6 |ESEL|CROAZIA|000020|ESEL d.o.o.||||
1901072|A6 |MAIN LINE|INGHILTERRA|000047|MAINLINE MOULDINGS LTD||||
1901073|A6 |A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901074|A6 |A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1901083|A6 |ROLAND WEIZER|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG||||
2001027|A6 |ZANART EZE-FRAME|INGHILTERRA|000113|ZANART GALLERY & FRAMING||||
2001028|A6 |LARSON|AUSTRALIA|000231|LARSON JUHL PTY LTD||||
2001029|A6 |WESSEX|INGHILTERRA|000254|WESSEX PICTURES - A.L. YOUNGER LTD||||
2001044|A6 |MAIN LINE|INGHILTERRA|000047|MAINLINE MOULDINGS LTD||||
2001045|A6 |ROLAND WEIZER|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG||||
2001046|A6 |ZANART EZE-FRAME|INGHILTERRA|000113|ZANART GALLERY & FRAMING||||
2001051|A6 |ROLAND WEIZER|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG||||
2001061|A6 |STETAS|GERMANIA|000287|STETAS GMBH||||
2001062|A6 |AL1 SERVICE|FRANCIA|000005|AL1 SERVICE MAINTENANCE||||
2001080|A6 |ULTIMAT|INGHILTERRA|000034|ULTIMAT LTD||||
2001093|A6 |CHAMTON|AUSTRALIA| 000035 |CHAMTON PTY LTD||||
2001096|A6 |BREVETTI MOTTA|ITALIA| 000001 |BREVETTI MOTTA SRL||||
21001044|A6 |BRAVETTI MOTTA|ITALIA| 000001 |BREVETTI MOTTA SRL||||
21010003|A6 |TGS REPAIR|INGHILTERRA|000060|TGS REPAIRS LLP||||
21010004|A6 |BALTIC FRAME|LETTONIA|000313|BALTIC FRAME SIA||||
21010037|A6 ||TGS REPAIRS LLC|000060|TGS REPAIRS LLC||||
21010043|A6 |TGS REPAIR|INGHILTERRA|000060|TGS REPAIRS LLP||||
21010070|A6 |FRAMETECH|SPAGNA|000340|FRAMETECH S.L.||||
21010071|A6 |DECO MANUFACTORING|MALTA|000016|DECO MANUFACTORING LTD||||
21010072|A6 |APA POLSKA|POLONIA| 000098 |APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA||||
21010073|A6 |BRAVETTI MOTTA|ITALIA| 000001 |BREVETTI MOTTA SRL||||
21010087|A6 |DANI|SPAGNA|000341|DANIEL VILLACORTA GALAN||||
21010088|A6 |CHAMPTON|AUSTRALIA| 000035 |CHAMTON PTY LTD||||
21010089|A6||TGS REPAIRS LLC|000060|TGS REPAIRS LLC||||
21010093|A6 |APA POLSKA|POLONIA| 000098 |APA POLSKA SP. Z O.O. SPOLKA KOMANDYTOWA||||
21010109|A6|FRAMETECH|SPAGNA|000340|FRAMETECH S.L.||||
21010125|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010126|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
21010127|A6|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600260|A6 BASIC|MINITRADE|CINA|000053|MINITRADE CHINA||||
1700900|A6 BASIC|ARTMEN|HONG KONG| 000119 |ARTMEN FRAME & GLASS COMPANY||||
1901020|A6 BASIC|MAIN LINE|INGHILTERRA|000047|MAINLINE MOULDINGS LTD||||
1901021|A6 BASIC|DONG WOO|KOREA|000019|DONG WOO FRAME||||
1901082|A6 BASIC|ROLAND WEIZER|GERMANIA|000030|ROLAND WEITZER INDUSTRIEVERTRETUNG||||
1600240|A5 RC (bloccaggio scomparsa)|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600241|A5 RC (bloccaggio scomparsa)|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600242|A5 RC (bloccaggio scomparsa)|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600243|A5 RC (bloccaggio scomparsa)|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
1600244|A5 RC (bloccaggio scomparsa)|A+USA|USA| 000006 |A-PLUS AUTOMATION USA INC||||
